site,Directory,FileName,DateTimeOriginal,DateTimeCorrected,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12,G12/G12_R1/105EK113,12290706.JPG,12/29/18 13:20,12/29/18 13:20,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290707.JPG,12/29/18 13:20,12/29/18 13:20,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290708.JPG,12/29/18 13:21,12/29/18 13:21,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290709.JPG,12/29/18 13:21,12/29/18 13:21,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290710.JPG,12/29/18 13:22,12/29/18 13:22,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290711.JPG,12/29/18 13:22,12/29/18 13:22,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290712.JPG,12/29/18 13:23,12/29/18 13:23,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290713.JPG,12/29/18 13:23,12/29/18 13:23,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290714.JPG,12/29/18 13:24,12/29/18 13:24,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290715.JPG,12/29/18 13:24,12/29/18 13:24,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290716.JPG,12/29/18 13:25,12/29/18 13:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290717.JPG,12/29/18 13:25,12/29/18 13:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290718.JPG,12/29/18 13:25,12/29/18 13:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290719.JPG,12/29/18 13:25,12/29/18 13:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290720.JPG,12/29/18 13:26,12/29/18 13:26,nothing there,,,,,,,,
