Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/23/18 10:52,05230250.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 10:53,05230251.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 10:53,05230252.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 11:43,05230253.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 11:43,05230254.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 12:33,05230255.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 12:33,05230256.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 13:44,05230257.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/23/18 13:44,05230258.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/23/18 13:45,05230259.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/23/18 13:45,05230260.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/23/18 13:51,05230261.JPG,waterbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 13:51,05230262.JPG,waterbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 13:52,05230263.JPG,waterbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 13:52,05230264.JPG,waterbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 13:53,05230265.JPG,waterbuck,2,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/23/18 13:53,05230266.JPG,waterbuck,2,0,1,0,1,1,0,0
